date,daily_pubs,core_count,award_count,funder_count,avg_num_keywords,core_share,award_share,funder_share,daily_pubs_7d_avg,daily_pubs_14d_avg,daily_pubs_30d_avg,core_count_7d_avg,core_count_14d_avg,core_count_30d_avg,award_count_7d_avg,award_count_14d_avg,award_count_30d_avg,funder_count_7d_avg,funder_count_14d_avg,funder_count_30d_avg,avg_num_keywords_7d_avg,avg_num_keywords_14d_avg,avg_num_keywords_30d_avg,daily_pubs_growth_1d,daily_pubs_growth_7d,daily_pubs_growth_14d,daily_pubs_zscore_30d,unique_keywords,keyword_entropy,total_keyword_mentions,top10_keyword_mentions,top10_keyword_concentration,unique_keywords_7d_avg,keyword_entropy_7d_avg,new_keyword_count,new_keyword_share,new_keyword_count_14d_avg,unique_subfields,subfield_entropy,dominant_subfield_share,dominant_subfield_changed,kw_count__artificial-intelligence,kw_count__chemistry,kw_count__composite-material,kw_count__computer-science,kw_count__engineering,kw_count__materials-science,kw_count__medicine,kw_count__nanotechnology,kw_count__organic-chemistry,kw_count__physics,sf_count__2204,sf_count__2741,sf_count__3607
2022-12-14,182,163,87,111,13.054945054945055,0.8956043956043956,0.47802197802197804,0.6098901098901099,160.14285714285714,189.35714285714286,183.76666666666668,147.14285714285714,168.35714285714286,167.0,76.85714285714286,82.85714285714286,82.5,93.85714285714286,102.78571428571429,102.1,13.489836259733467,13.360386360261534,13.449418605749361,-0.03191489361702127,-0.0714285714285714,-0.3680555555555556,-0.017665802044958726,1075,6.212303806728374,2376,471.0,0.19823232323232323,947.2857142857143,6.076114327912293,12.0,0.011162790697674419,8.714285714285714,2,0.6172417697303416,0.6923076923076923,0,36.0,69.0,34.0,57.0,29.0,87.0,57.0,26.0,36.0,40.0,126,56,0
2022-12-15,213,191,98,118,13.300469483568076,0.8967136150234741,0.460093896713615,0.5539906103286385,163.0,162.57142857142858,184.5,149.28571428571428,146.85714285714286,167.23333333333332,78.42857142857143,76.64285714285714,82.96666666666667,94.71428571428571,94.35714285714286,102.63333333333334,13.555706437622911,13.399341177600945,13.427671602496567,0.1703296703296704,0.10362694300518127,-0.6377551020408163,0.28461342545057156,1198,6.2898907053447415,2833,571.0,0.20155312389692906,969.1428571428571,6.096774825812126,5.0,0.004173622704507512,6.785714285714286,3,0.664916420762226,0.6854460093896714,0,47.0,77.0,46.0,78.0,43.0,91.0,73.0,43.0,33.0,40.0,146,65,2
2022-12-16,181,165,83,102,13.80110497237569,0.9116022099447514,0.4585635359116022,0.56353591160221,158.42857142857142,162.35714285714286,182.76666666666668,144.14285714285714,146.92857142857142,165.76666666666668,75.42857142857143,76.14285714285714,81.73333333333333,91.14285714285714,94.07142857142857,101.3,13.611129213689996,13.44414060109362,13.430197705295358,-0.1502347417840375,-0.1502347417840375,-0.016304347826086918,-0.017714401420112946,1078,6.1880278782046965,2498,500.0,0.200160128102482,953.8571428571429,6.09106398976857,7.0,0.006493506493506494,6.571428571428571,3,0.6507920101818869,0.6850828729281768,0,32.0,73.0,32.0,60.0,29.0,93.0,66.0,43.0,29.0,43.0,124,56,1
2022-12-17,112,93,43,53,13.178571428571429,0.8303571428571429,0.38392857142857145,0.4732142857142857,160.85714285714286,166.14285714285714,178.86666666666667,145.42857142857142,149.64285714285714,161.9,76.14285714285714,77.07142857142857,79.63333333333334,91.57142857142857,95.0,98.8,13.553932650854334,13.38667778545889,13.414170464704798,-0.3812154696132597,0.17894736842105252,0.8983050847457628,-0.6677774822705528,730,5.9978890764755395,1476,282.0,0.1910569105691057,968.4285714285714,6.110105178573278,5.0,0.00684931506849315,6.642857142857143,3,0.6754784221911371,0.6696428571428571,0,20.0,38.0,22.0,35.0,19.0,43.0,46.0,19.0,21.0,19.0,75,36,1
2022-12-18,28,25,10,11,13.964285714285714,0.8928571428571429,0.35714285714285715,0.39285714285714285,157.85714285714286,164.28571428571428,173.73333333333332,142.85714285714286,148.35714285714286,157.0,74.42857142857143,75.85714285714286,77.06666666666666,89.28571428571429,93.42857142857143,96.06666666666666,13.554661513828096,13.44629607722004,13.428364603898935,-0.75,-0.4285714285714286,-0.4814814814814815,-1.405011122375677,254,5.235344278663578,391,84.0,0.21483375959079284,946.1428571428571,6.055860706868586,2.0,0.007874015748031496,6.785714285714286,2,0.5623351446188083,0.75,0,5.0,9.0,8.0,11.0,7.0,16.0,11.0,4.0,4.0,9.0,21,7,0
2022-12-19,189,179,92,107,13.132275132275133,0.9470899470899471,0.48677248677248675,0.5661375661375662,156.14285714285714,158.28571428571428,176.53333333333333,141.57142857142858,143.0,159.73333333333332,72.57142857142857,73.64285714285714,78.86666666666666,87.28571428571429,90.5,97.63333333333334,13.45984083265347,13.44527857620254,13.425154727355727,5.75,-0.05970149253731338,-0.3076923076923077,0.1210805996810084,1117,6.2437061663129185,2482,485.0,0.19540692989524577,935.2857142857143,6.0530134552678225,7.0,0.006266786034019696,5.642857142857143,2,0.6289259595237536,0.6772486772486772,0,34.0,70.0,32.0,56.0,37.0,74.0,74.0,26.0,35.0,47.0,128,61,0
2022-12-20,191,182,85,114,13.434554973821989,0.9528795811518325,0.44502617801047123,0.5968586387434555,156.57142857142858,159.35714285714286,180.76666666666668,142.57142857142858,145.85714285714286,163.83333333333334,71.14285714285714,74.57142857142857,80.66666666666667,88.0,91.5,100.23333333333333,13.409458108549012,13.447909126280733,13.422452393149793,0.010582010582010692,0.015957446808510634,0.08522727272727271,0.101484187516838,1118,6.227088143692245,2566,511.0,0.19914263445050662,938.5714285714286,6.0563214364888704,6.0,0.005366726296958855,5.928571428571429,3,0.6880048290954639,0.6596858638743456,0,31.0,70.0,41.0,52.0,41.0,90.0,71.0,42.0,33.0,40.0,126,63,2
2022-12-21,232,202,101,124,13.525862068965518,0.8706896551724138,0.4353448275862069,0.5344827586206896,163.71428571428572,161.92857142857142,181.23333333333332,148.14285714285714,147.64285714285714,163.5,73.14285714285714,75.0,80.86666666666666,89.85714285714286,91.85714285714286,100.4,13.476731967694793,13.48328411371413,13.422702841320204,0.2146596858638743,0.27472527472527464,0.18367346938775508,0.5024405238452673,1263,6.290059592774499,3138,613.0,0.19534735500318676,965.4285714285714,6.067429405924032,9.0,0.007125890736342043,6.0,3,0.6701365693690509,0.6508620689655172,0,45.0,82.0,42.0,82.0,49.0,98.0,93.0,53.0,29.0,40.0,151,80,1
2022-12-22,224,215,111,136,13.5625,0.9598214285714286,0.4955357142857143,0.6071428571428571,165.28571428571428,164.14285714285714,183.2,151.57142857142858,150.42857142857142,165.46666666666667,75.0,76.71428571428571,81.6,92.42857142857143,93.57142857142857,101.4,13.51416489861364,13.534935668118276,13.424281124148486,-0.03448275862068961,0.05164319248826299,0.160621761658031,0.4028477596139055,1197,6.225951062458985,3038,613.0,0.20177748518762342,965.2857142857143,6.0582951712260655,8.0,0.006683375104427736,6.214285714285714,2,0.5623351446188083,0.75,0,40.0,93.0,51.0,66.0,34.0,115.0,74.0,50.0,45.0,45.0,168,56,0
2022-12-23,181,164,80,98,13.92817679558011,0.9060773480662984,0.4419889502762431,0.5414364640883977,165.28571428571428,161.85714285714286,182.83333333333334,151.42857142857142,147.78571428571428,164.76666666666668,74.57142857142857,75.0,81.16666666666667,91.85714285714286,91.5,100.96666666666667,13.53231801621427,13.571723614952132,13.442720350667823,-0.1919642857142857,0.0,-0.1502347417840375,-0.0181040736658706,1068,6.186204302561126,2521,512.0,0.2030940103133677,963.8571428571429,6.058034660419842,11.0,0.010299625468164793,6.285714285714286,3,0.5539995244018592,0.7790055248618785,0,34.0,78.0,28.0,54.0,41.0,92.0,51.0,51.0,45.0,38.0,141,39,1
